Intensidade,R,G,B
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,19,0,0
11,69,0,0
12,219,0,0
13,475,1,0
14,1205,8,0
15,1829,16,0
16,2645,77,0
17,3031,254,0
18,3555,446,0
19,3558,583,0
20,4273,1130,0
21,4878,1759,0
22,5527,2402,1
23,4558,2876,1
24,4928,2983,0
25,4783,3308,5
26,4062,3045,7
27,5564,3270,40
28,4987,3570,60
29,5068,4768,174
30,5515,3394,273
31,4452,3601,249
32,4638,4578,462
33,4822,3316,415
34,4353,3502,751
35,4586,4212,1024
36,4157,3370,1163
37,3877,4254,1107
38,3733,4238,1325
39,3438,3284,1641
40,3469,4062,1749
41,3320,3949,1821
42,3120,3072,1776
43,2873,3703,1962
44,3210,3609,2323
45,3130,3520,2715
46,3009,3412,2607
47,3240,3184,3093
48,2944,2889,3227
49,2982,2863,2429
50,2901,2764,2620
51,2622,2788,2729
52,2705,2555,2107
53,2719,2548,2694
54,2717,2507,2217
55,2657,2754,2224
56,2572,2394,2576
57,2451,2359,2044
58,2444,2505,2764
59,2380,2387,2209
60,2323,2563,2543
61,2201,2519,2456
62,2110,2532,2401
63,2133,2304,2694
64,2101,2279,2369
65,2014,2289,2489
66,2049,2300,2562
67,1918,2320,2460
68,1928,2347,2732
69,1915,2089,2380
70,1990,2287,2461
71,1874,2213,2579
72,1915,2212,2383
73,1929,2081,2325
74,1777,2050,2225
75,1851,1954,2213
76,1685,1885,2165
77,1695,1971,2058
78,5323,2092,2112
79,7625,1853,2005
80,7365,1714,1889
81,7101,1711,1894
82,8825,1841,1965
83,8124,1728,1934
84,9848,1766,1663
85,8243,1577,1894
86,8061,1732,1777
87,6935,1616,1794
88,6990,1711,1792
89,6163,1731,1849
90,5532,1537,1891
91,5769,1640,1626
92,5706,1647,1870
93,5675,1607,1748
94,6012,1647,1763
95,5628,1558,1708
96,5689,1497,1831
97,5641,1448,1855
98,5563,1391,1865
99,5570,1354,1823
100,5338,1564,1735
101,5479,4559,1832
102,5699,5923,1722
103,5308,5260,1724
104,5231,5741,1724
105,5515,7035,1726
106,5684,7032,1797
107,5592,8340,1646
108,5606,6419,1736
109,5371,7477,1558
110,5503,7393,1673
111,5431,7738,1652
112,5523,6215,1604
113,4745,5258,1517
114,4433,5266,1479
115,4236,5094,1540
116,4340,5592,1600
117,4278,5621,1502
118,3847,5218,1571
119,3491,5257,1511
120,3597,5994,1588
121,4021,6943,1390
122,3775,6379,1454
123,3673,7036,1348
124,3526,5839,1538
125,3783,6641,1379
126,3365,6249,1456
127,3233,5421,1486
128,3279,5357,1393
129,3307,5158,1409
130,3161,5002,1395
131,3356,4868,1469
132,3455,4888,1323
133,3321,5239,1342
134,3047,4793,1386
135,2856,4454,1313
136,2856,4679,1420
137,2753,4366,1510
138,2719,4295,1792
139,2601,3833,2011
140,2589,3925,2197
141,2458,4065,2925
142,2373,4234,3398
143,2266,3973,2784
144,2290,3838,2170
145,2439,3617,1930
146,2325,3672,1714
147,2401,3616,1627
148,2265,3424,1562
149,2282,3469,1691
150,2331,3309,1637
151,2227,3307,2226
152,2509,3313,2446
153,2210,3366,5041
154,2168,3227,4057
155,2058,3206,3518
156,2100,3154,5481
157,2096,3124,6667
158,1905,2849,6460
159,1767,2862,7049
160,1765,2716,6291
161,1712,2622,6456
162,1706,2767,6517
163,1713,2826,7014
164,1905,2873,6465
165,1701,2610,6102
166,1584,2524,5862
167,1656,2565,6340
168,1644,2586,6094
169,1694,2567,5826
170,1782,2509,6088
171,1543,2551,6186
172,1406,2449,6155
173,1375,2505,6180
174,1578,2360,6141
175,1795,2337,6028
176,1386,2320,5896
177,1339,2428,5702
178,1444,2441,5739
179,1289,2479,5634
180,1281,2384,5309
181,1355,2492,5419
182,1396,2123,5231
183,1104,2001,5140
184,1044,2208,5299
185,1167,2088,5197
186,1187,2134,4947
187,1161,2254,4875
188,1204,2173,4762
189,1170,1789,4793
190,1203,1559,4522
191,1308,1802,4684
192,1054,1819,4538
193,773,2046,4224
194,877,1743,4298
195,1118,1744,4296
196,1035,1841,4348
197,881,1806,4037
198,973,1772,4060
199,1012,1768,4314
200,918,1640,4120
201,912,1514,4130
202,928,1777,3920
203,959,1872,3718
204,606,1896,3818
205,673,1666,3872
206,821,1731,3939
207,951,1817,3613
208,865,1580,3717
209,819,1457,3864
210,644,1256,3837
211,768,1374,3784
212,1038,1502,3705
213,934,1389,3562
214,1137,1265,3762
215,999,1407,3768
216,983,1310,4041
217,1033,1005,3916
218,1230,1404,4075
219,952,1716,4320
220,813,1683,4079
221,871,2028,4194
222,808,2687,3682
223,748,2514,3893
224,660,1880,3924
225,440,1552,4014
226,495,1521,4461
227,469,1395,4550
228,298,1015,4896
229,195,614,5402
230,207,459,6748
231,183,418,7521
232,138,302,6399
233,128,172,4550
234,101,161,2816
235,108,143,1480
236,77,151,1063
237,77,115,577
238,68,111,392
239,53,66,321
240,43,67,260
241,39,70,191
242,31,51,167
243,1,15,109
244,0,3,88
245,0,0,64
246,0,0,63
247,0,0,32
248,0,0,35
249,0,0,26
250,0,0,11
251,0,0,10
252,0,0,11
253,0,0,6
254,0,0,6
255,0,0,11
